rank,Team
1,Manchester United F.C.
2,Liverpool F.C.
3,Arsenal F.C.
4,Manchester City F.C.
5,Chelsea F.C.
6,Tottenham Hotspur F.C.
7,Real Madrid
8,Aston Villa F.C.
9,Newcastle United F.C.
10,West Ham United F.C.
11,Everton F.C.
12,Leicester City F. C.
13,Crystal Palace F.C.
14,FC Barcelona
15,Sheffield United F.C.
16,A.C. Milan
17,Leeds United A.F.C.
18,Fulham F.C.
19,Southampton F.C.
20,Queens Park Rangers F.C.
21,Nottingham Forest F.C.
22,Millwall F.C.
23,Sheffield Wednesday F.C.
24,Celtic F.C.
25,Blackburn Rovers F.C.
26,West Bromwich Albion F.C.
27,Birmingham City F.C.
28,Stoke City F.C.
29,Rangers F.C.
30,Portsmouth F.C.
31,Blackpool F.C.
32,Middlesbrough F.C.
33,Juventus F.C.
34,Wolverhampton Wanderers F.C.
35,Norwich City F.C.
36,Sunderland A.F.C.
37,Watford F.C.
38,Cardiff City F.C.
39,Coventry City F.C.
40,Ipswich Town F.C.
41,Bristol City F.C.
42,FC Bayern Munich
43,Swansea City A.F.C.
44,Charlton Athletic F.C.
45,Bolton Wanderers F.C.
46,Huddersfield Town F.C.
47,Hull City A.F.C.
48,Luton Town F.C.
49,Bristol Rovers F.C.
50,Reading F.C.
51,Bradford City A.F.C.
52,Wigan Athletic F.C.
53,Brighton & Hove Albion F.C.
54,Accrington Stanley F.C.
55,Notts County F.C.
56,Barnsley F.C.
57,Burnley F.C.
58,Exeter City F.C.
59,Derby County F.C.
60,Atlético de Madrid
61,Motherwell F.C.
62,Aberdeen F.C.
63,Swindon Town F.C
64,Oldham Athletic A.F.C.
65,Dundee F.C.
66,Dundee United F.C.
67,Leyton Orient F.C.
68,Tranmere Rovers F.C.
69,Northampton Town F.C.
70,Plymouth Argyle F.C.
71,Lincoln City F.C.
72,Carlisle United F.C.
73,Oxford United F.C.
74,AFC Wimbledon
75,A.F.C. Bournemouth
76,Preston North End F.C.
77,Walsall F.C.
78,Paris Saint-Germain FC
79,Southend United F.C.
80,York City F.C.
81,Cambridge United F.C.
82,Kilmarnock F.C.
83,Hibernian F.C.
84,Partick Thistle F.C.
85,Milton Keynes Dons F.C.
86,Brentford F.C.
87,Wrexham A.F.C.
88,Gillingham F.C.
89,Los Angeles Galaxy
90,Salford City F.C.
91,Dunfermline Athletic F.C.
92,Borussia Dortmund
93,Heart of Midlothian F.C.
94,St. Mirren F.C.
95,Sevilla FC
96,Newport County A.F.C.
97,Ajax Amsterdam
98,Hamilton Academical F.C.
99,Dagenham and Redbridge F.C.
100,Inverness Caledonian Thistle F.C.
101,Sutton United F.C.
102,St Johnstone F.C.